Node8_X,Node8_Y,Node8_Z,Node3_X,Node3_Y,Node3_Z,Node4_X,Node4_Y,Node4_Z
-1.807188211E-06,5.87879492E-06,1.163864738E-06,-2.395396089E-06,4.632532831E-06,2.032766762E-08,-1.600585802E-06,7.656798073E-06,4.118681234E-06
1.810502405E-06,4.43502886E-06,3.137455578E-06,3.248032678E-06,2.087502901E-06,5.143748739E-06,-5.476694469E-09,7.202918391E-06,6.263962939E-06
1.958939488E-06,4.179391128E-06,3.13924558E-06,3.085773805E-06,1.529768807E-06,4.938402277E-06,5.589886377E-07,7.058938924E-06,6.476216016E-06
2.107376672E-06,3.923753508E-06,3.141035621E-06,2.923514737E-06,9.720348709E-07,4.733055891E-06,1.123453953E-06,6.914959417E-06,6.68846904E-06
-4.063002037E-06,2.210679071E-06,-1.978960927E-06,-5.156651843E-06,4.21823197E-06,-4.507381736E-06,-3.288505089E-06,8.858181311E-07,-2.782040873E-06
-3.914564856E-06,1.955041448E-06,-1.977170862E-06,-5.318910889E-06,3.660498049E-06,-4.712728131E-06,-2.724039752E-06,7.418386243E-07,-2.569787831E-06
-3.766127771E-06,1.699403731E-06,-1.975380889E-06,-5.481169779E-06,3.102763914E-06,-4.918074584E-06,-2.159574449E-06,5.978591575E-07,-2.357534771E-06
-1.484371543E-07,2.55637666E-07,-1.79004919E-09,1.622589814E-07,5.577340182E-07,2.053464517E-07,-5.644653311E-07,1.439794932E-07,-2.122530556E-07
0,0,0,0,0,0,0,0,0
1.484371536E-07,-2.556376675E-07,1.790045428E-09,-1.6225898E-07,-5.577340165E-07,-2.053464489E-07,5.644653301E-07,-1.43979493E-07,2.122530547E-07
3.766127771E-06,-1.699403731E-06,1.975380889E-06,5.481169779E-06,-3.102763914E-06,4.918074584E-06,2.159574449E-06,-5.978591575E-07,2.357534771E-06
3.914564903E-06,-1.955041401E-06,1.977170907E-06,5.318910812E-06,-3.660497949E-06,4.712728158E-06,2.724039767E-06,-7.418386442E-07,2.569787823E-06
4.063002037E-06,-2.21067907E-06,1.978960927E-06,5.156651842E-06,-4.218231969E-06,4.507381736E-06,3.288505089E-06,-8.858181312E-07,2.782040873E-06
-2.107376672E-06,-3.923753508E-06,-3.141035621E-06,-2.923514737E-06,-9.720348709E-07,-4.733055891E-06,-1.123453953E-06,-6.914959417E-06,-6.68846904E-06
-1.958939488E-06,-4.179391128E-06,-3.13924558E-06,-3.085773805E-06,-1.529768807E-06,-4.938402277E-06,-5.589886377E-07,-7.058938924E-06,-6.476216016E-06
-1.810502405E-06,-4.43502886E-06,-3.137455578E-06,-3.248032678E-06,-2.087502901E-06,-5.143748739E-06,5.476694469E-09,-7.202918391E-06,-6.263962939E-06
1.807188211E-06,-5.87879492E-06,-1.163864738E-06,2.395396089E-06,-4.632532831E-06,-2.032766762E-08,1.600585802E-06,-7.656798073E-06,-4.118681234E-06
1.955625346E-06,-6.134432598E-06,-1.16207471E-06,2.233137117E-06,-5.190266846E-06,-2.256740954E-07,2.165051128E-06,-7.800777558E-06,-3.906428183E-06
2.104062486E-06,-6.39007027E-06,-1.160284691E-06,2.070878113E-06,-5.748000841E-06,-4.310204984E-07,2.729516447E-06,-7.944757044E-06,-3.694175147E-06
5.721753083E-06,-7.833836355E-06,8.133061421E-07,7.714307129E-06,-8.293031037E-06,4.692400355E-06,4.324625543E-06,-8.398636654E-06,-1.548893404E-06
5.870190216E-06,-8.089474024E-06,8.150961254E-07,7.552048192E-06,-8.850765111E-06,4.487053911E-06,4.889090849E-06,-8.542616142E-06,-1.336640365E-06
6.018627373E-06,-8.345111695E-06,8.168862096E-07,7.389789172E-06,-9.408499052E-06,4.281707496E-06,5.453556195E-06,-8.686595639E-06,-1.124387305E-06
